title,price,average_rating
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
Excellent camera,699.99,4.8
Great sound,149.99,4.7
Best kitchen tool,59.99,4.9
